sqft,bedrooms,city,condition,built_year,last_sold,price
3221.0,4,miami,good,1909,2013-08-13,651465
634.0,1,nyc,excellent,2007,2004-08-13,265165
1199.0,1,austin,fair,1974,2024-10-10,374524
1376.0,3,seattle,good,1943,2010-12-18,305124
1971.0,3,seattle,excellent,1995,2009-10-21,491744
2259.0,4,nyc,fair,2006,2001-02-21,439588
1980.0,3,nyc,fair,1945,2022-04-17,361186
752.0,1,nyc,excellent,1970,,175614
1231.0,2,nyc,fair,1901,2025-07-14,185090
3031.0,4,seattle,good,1938,2012-11-07,580010
2413.0,5,miami,excellent,1974,2022-07-14,654835
2447.0,2,miami,fair,1924,2004-01-01,512280
2511.0,2,nyc,fair,2024,2004-06-28,498938
2789.0,4,austin,poor,2022,,629446
674.0,1,seattle,fair,1932,2021-08-22,192034
1600.0,3,nyc,fair,1949,2014-02-27,336449
2119.0,3,nyc,good,1923,2000-03-14,280718
1515.0,2,dallas,fair,1963,2024-11-25,226601
3033.0,5,dallas,good,1915,2010-12-14,455907
1948.0,4,miami,fair,1949,2024-10-04,514437
2806.0,4,nyc,fair,1969,,524417
3056.0,5,nyc,fair,1977,2022-08-04,572147
,3,nyc,good,1975,2017-10-27,403571
3229.0,4,seattle,good,1927,2017-08-14,562569
2261.0,4,seattle,fair,1999,2013-08-09,475473
3051.0,4,nyc,excellent,1987,2000-06-13,616314
1522.0,2,dallas,good,1994,2010-03-08,260811
1996.0,4,miami,fair,1958,2018-04-25,522605
2094.0,1,miami,excellent,2012,2021-09-28,654422
815.0,1,nyc,fair,1949,2014-01-03,225691
1696.0,1,seattle,poor,2001,2018-02-21,394973
3252.0,4,dallas,good,1925,2000-05-10,497844
2392.0,3,miami,poor,1931,2012-10-02,556916
1033.0,1,austin,fair,1966,2013-08-26,282361
1517.0,1,nyc,good,1970,,321232
1075.0,1,miami,poor,1994,2008-07-06,359315
574.0,3,miami,good,1937,2005-02-01,273962
3282.0,6,miami,excellent,2009,2009-04-14,868221
1845.0,2,dallas,good,1941,2004-01-17,279856
1423.0,2,miami,good,1967,2014-10-09,457176
2295.0,2,nyc,good,2017,,485823
522.0,1,dallas,excellent,1967,2020-04-04,117537
1334.0,2,austin,fair,1985,2025-04-27,430820
2609.0,3,dallas,fair,2014,2001-04-23,465968
2401.0,3,austin,good,2022,2006-11-27,572855
,4,dallas,good,1962,2007-06-15,580849
2361.0,3,nyc,fair,1952,2006-10-16,415815
